;id;en;full_ssp_name;lat;lng;type;time;date;file
75;102929;Orinoco Goose;Neochen_jubata_;7.7109;-67.1478;?;16.30;2011-03-13;https://www.xeno-canto.org/102929/download
76;9026;Orinoco Goose;Neochen_jubata_;7.4334;-69.3167;call;?;1992-11-02;https://www.xeno-canto.org/9026/download
77;9025;Orinoco Goose;Neochen_jubata_;7.4334;-69.3167;call;?;1992-11-01;https://www.xeno-canto.org/9025/download
78;404991;Andean Teal;Anas_andium_;8.8;-70.8167;call;?;2007-08-10;https://www.xeno-canto.org/404991/download
79;218529;Andean Teal;Anas_andium_;8.8;-70.8166666667;call male;09:00;2007-08-10;https://www.xeno-canto.org/218529/download
80;218528;Andean Teal;Anas_andium_;8.8;-70.8166666667;call;06:30;1997-04-20;https://www.xeno-canto.org/218528/download
81;226996;Rufous-vented Chachalaca;Ortalis_ruficauda_;11.0;-68.4;call;07:00;1996-11-17;https://www.xeno-canto.org/226996/download
82;226995;Rufous-vented Chachalaca;Ortalis_ruficauda_;10.85;-68.3;dawn chorus;07:00;1996-11-17;https://www.xeno-canto.org/226995/download
83;202928;Rufous-vented Chachalaca;Ortalis_ruficauda_ruficauda;9.7044;-69.5736;song;?;2009-02-19;https://www.xeno-canto.org/202928/download
84;143148;Rufous-vented Chachalaca;Ortalis_ruficauda_;10.304;-67.633;song;06:00;2009-02-14;https://www.xeno-canto.org/143148/download
85;103030;Rufous-vented Chachalaca;Ortalis_ruficauda_;10.3167;-68.25;Call;06.00;2011-11-30;https://www.xeno-canto.org/103030/download
86;27914;Rufous-vented Chachalaca;Ortalis_ruficauda_;11.21222;-69.72556;call;?:?;2006-11-00;https://www.xeno-canto.org/27914/download
87;11529;Rufous-vented Chachalaca;Ortalis_ruficauda_;9.5478;-62.7112;Song-terr. sounds;06:00;2007-02-04;https://www.xeno-canto.org/11529/download
88;579423;Rufous-vented Chachalaca;Ortalis_ruficauda_;11.1858;-69.6046;aberrant, adult, sex uncertain, song;06:30;2020-07-21;https://www.xeno-canto.org/579423/download
89;386679;Rufous-vented Chachalaca;Ortalis_ruficauda_;8.8526;-70.5806;song;08:30;2011-03-02;https://www.xeno-canto.org/386679/download
90;386678;Rufous-vented Chachalaca;Ortalis_ruficauda_;8.8526;-70.5806;song;08:30;2011-03-02;https://www.xeno-canto.org/386678/download
91;300991;Rufous-vented Chachalaca;Ortalis_ruficauda_;10.3164;-67.6447;song;08:12;2016-01-21;https://www.xeno-canto.org/300991/download
92;247253;Rufous-vented Chachalaca;Ortalis_ruficauda_;10.6063;-66.8271;song;00:00;2006-02-11;https://www.xeno-canto.org/247253/download
93;226999;Rufous-vented Chachalaca;Ortalis_ruficauda_;9.9166666667;-62.9166666667;call;?;1994-06-19;https://www.xeno-canto.org/226999/download
94;226998;Rufous-vented Chachalaca;Ortalis_ruficauda_;9.9166666667;-62.9166666667;call;?;1994-07-16;https://www.xeno-canto.org/226998/download
95;226997;Rufous-vented Chachalaca;Ortalis_ruficauda_;9.9166666667;-62.9166666667;call;?;1994-07-16;https://www.xeno-canto.org/226997/download
96;216599;Rufous-vented Chachalaca;Ortalis_ruficauda_;10.6063;-66.8271;song;00:00;2009-02-15;https://www.xeno-canto.org/216599/download
97;161878;Rufous-vented Chachalaca;Ortalis_ruficauda_;9.7031;-69.6048;alarm call;07:30;2011-10-03;https://www.xeno-canto.org/161878/download
98;147676;Rufous-vented Chachalaca;Ortalis_ruficauda_;7.7143;-69.3326;song;18:00;2009-02-25;https://www.xeno-canto.org/147676/download
99;109983;Rufous-vented Chachalaca;Ortalis_ruficauda_;8.8526;-70.5806;Song ;7-20;2011-03-02;https://www.xeno-canto.org/109983/download
100;105294;Rufous-vented Chachalaca;Ortalis_ruficauda_;8.8526;-70.5806;song;7-30;2011-03-02;https://www.xeno-canto.org/105294/download
